TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,54247,44,54,54D,543,0,HAMMEVILLE,Hammeville,Hammeville,5410,
COM,54248,44,54,54D,544,0,HAMONVILLE,Hamonville,Hamonville,5416,
COM,54249,44,54,54D,541,0,HANNONVILLE SUZEMONT,Hannonville-Suzémont,Hannonville-Suzémont,5404,
COM,54250,44,54,54D,543,1,HARAUCOURT,Haraucourt,Haraucourt,5403,
COM,54251,44,54,54D,542,1,HARBOUEY,Harbouey,Harbouey,5401,
COM,54252,44,54,54D,543,1,HAROUE,Haroué,Haroué,5410,
COM,54253,44,54,54D,541,1,HATRIZE,Hatrize,Hatrize,5404,
COM,54254,44,54,54D,541,1,HAUCOURT MOULAINE,Haucourt-Moulaine,Haucourt-Moulaine,5407,
COM,54255,44,54,54D,542,1,HAUDONVILLE,Haudonville,Haudonville,5409,
COM,54256,44,54,54D,542,1,HAUSSONVILLE,Haussonville,Haussonville,5409,
COM,54257,44,54,54D,543,1,HEILLECOURT,Heillecourt,Heillecourt,5405,
COM,54258,44,54,54D,542,1,HENAMENIL,Hénaménil,Hénaménil,5408,
COM,54259,44,54,54D,542,1,HERBEVILLER,Herbéviller,Herbéviller,5401,
COM,54260,44,54,54D,542,1,HERIMENIL,Hériménil,Hériménil,5409,
COM,54261,44,54,54D,541,1,HERSERANGE,Herserange,Herserange,5407,
COM,54262,44,54,54D,542,1,HOEVILLE,Hoéville,Hoéville,5408,
COM,54263,44,54,54D,541,1,HOMECOURT,Homécourt,Homécourt,5404,
COM,54264,44,54,54D,543,1,HOUDELMONT,Houdelmont,Houdelmont,5410,
COM,54265,44,54,54D,543,1,HOUDEMONT,Houdemont,Houdemont,5405,
COM,54266,44,54,54D,543,1,HOUDREVILLE,Houdreville,Houdreville,5410,
COM,54268,44,54,54D,543,1,HOUSSEVILLE,Housséville,Housséville,5410,
COM,54269,44,54,54D,542,1,HUDIVILLER,Hudiviller,Hudiviller,5408,
COM,54270,44,54,54D,541,1,HUSSIGNY GODBRANGE,Hussigny-Godbrange,Hussigny-Godbrange,5423,
COM,54271,44,54,54D,542,1,IGNEY,Igney,Igney,5401,
COM,54272,44,54,54D,544,0,JAILLON,Jaillon,Jaillon,5416,
COM,54273,44,54,54D,541,0,JARNY,Jarny,Jarny,5404,
COM,54274,44,54,54D,543,0,JARVILLE LA MALGRANGE,Jarville-la-Malgrange,Jarville-la-Malgrange,5405,
COM,54275,44,54,54D,544,0,JAULNY,Jaulny,Jaulny,5416,
COM,54276,44,54,54D,543,0,JEANDELAINCOURT,Jeandelaincourt,Jeandelaincourt,5402,
COM,54277,44,54,54D,541,0,JEANDELIZE,Jeandelize,Jeandelize,5404,
COM,54278,44,54,54D,543,0,JEVONCOURT,Jevoncourt,Jevoncourt,5410,
COM,54279,44,54,54D,543,0,JEZAINVILLE,Jezainville,Jezainville,5418,
COM,54280,44,54,54D,541,0,JOEUF,Jœuf,Jœuf,5417,
COM,54281,44,54,54D,542,0,JOLIVET,Jolivet,Jolivet,5408,
COM,54282,44,54,54D,541,0,JOPPECOURT,Joppécourt,Joppécourt,5417,
COM,54283,44,54,54D,541,0,JOUAVILLE,Jouaville,Jouaville,5404,
COM,54284,44,54,54D,541,0,JOUDREVILLE,Joudreville,Joudreville,5417,
COM,54285,44,54,54D,542,0,JUVRECOURT,Juvrecourt,Juvrecourt,5401,
COM,54286,44,54,54D,541,0,LABRY,Labry,Labry,5404,
COM,54287,44,54,54D,542,0,LACHAPELLE,Lachapelle,Lachapelle,5401,
COM,54288,44,54,54D,544,0,LAGNEY,Lagney,Lagney,5416,
COM,54289,44,54,54D,543,0,LAITRE SOUS AMANCE,Laître-sous-Amance,Laître-sous-Amance,5403,
COM,54290,44,54,54D,541,0,LAIX,Laix,Laix,5423,
COM,54291,44,54,54D,543,0,LALOEUF,Lalœuf,Lalœuf,5410,
COM,54292,44,54,54D,542,0,LAMATH,Lamath,Lamath,5409,
COM,54293,44,54,54D,542,0,LANDECOURT,Landécourt,Landécourt,5409,
COM,54294,44,54,54D,543,0,LANDREMONT,Landremont,Landremont,5402,
COM,54295,44,54,54D,541,0,LANDRES,Landres,Landres,5417,
COM,54296,44,54,54D,543,0,LANEUVELOTTE,Laneuvelotte,Laneuvelotte,5403,
COM,54297,44,54,54D,542,0,LANEUVEVILLE AUX BOIS,Laneuveville-aux-Bois,Laneuveville-aux-Bois,5401,
COM,54298,44,54,54D,544,0,LANEUVEVILLE DERRIERE FOUG,Laneuveville-derrière-Foug,Laneuveville-derrière-Foug,5420,
COM,54299,44,54,54D,543,0,LANEUVEVILLE DEVANT BAYON,Laneuveville-devant-Bayon,Laneuveville-devant-Bayon,5410,
COM,54300,44,54,54D,543,0,LANEUVEVILLE DEVANT NANCY,Laneuveville-devant-Nancy,Laneuveville-devant-Nancy,5403,
COM,54301,44,54,54D,543,0,LANFROICOURT,Lanfroicourt,Lanfroicourt,5402,
COM,54302,44,54,54D,541,0,LANTEFONTAINE,Lantéfontaine,Lantéfontaine,5417,
COM,54303,44,54,54D,542,0,LARONXE,Laronxe,Laronxe,5401,
COM,54304,44,54,54D,543,0,LAXOU,Laxou,Laxou,5406,
COM,54305,44,54,54D,543,0,LAY SAINT CHRISTOPHE,Lay-Saint-Christophe,Lay-Saint-Christophe,5402,
COM,54306,44,54,54D,544,0,LAY SAINT REMY,Lay-Saint-Remy,Lay-Saint-Remy,5420,
COM,54307,44,54,54D,543,0,LEBEUVILLE,Lebeuville,Lebeuville,5410,
COM,54308,44,54,54D,542,0,LEINTREY,Leintrey,Leintrey,5401,
COM,54309,44,54,54D,543,0,LEMAINVILLE,Lemainville,Lemainville,5410,
COM,54310,44,54,54D,543,0,LEMENIL MITRY,Leménil-Mitry,Leménil-Mitry,5410,
COM,54311,44,54,54D,543,0,LENONCOURT,Lenoncourt,Lenoncourt,5403,
COM,54312,44,54,54D,543,0,LESMENILS,Lesménils,Lesménils,5418,
COM,54313,44,54,54D,543,0,LETRICOURT,Létricourt,Létricourt,5402,
COM,54314,44,54,54D,541,0,LEXY,Lexy,Lexy,5407,
COM,54315,44,54,54D,543,0,LEYR,Leyr,Leyr,5402,
COM,54316,44,54,54D,544,0,LIMEY REMENAUVILLE,Limey-Remenauville,Limey-Remenauville,5416,
COM,54317,44,54,54D,544,0,LIRONVILLE,Lironville,Lironville,5416,
COM,54318,44,54,54D,544,0,LIVERDUN,Liverdun,Liverdun,5416,
COM,54320,44,54,54D,543,0,LOISY,Loisy,Loisy,5418,
COM,54321,44,54,54D,541,0,LONGLAVILLE,Longlaville,Longlaville,5423,
COM,54322,44,54,54D,541,0,LONGUYON,Longuyon,Longuyon,5411,
COM,54323,44,54,54D,541,0,LONGWY,Longwy,Longwy,5407,
COM,54324,44,54,54D,542,0,LOREY,Lorey,Lorey,5409,
COM,54325,44,54,54D,542,0,LOROMONTZEY,Loromontzey,Loromontzey,5409,
COM,54326,44,54,54D,541,0,LUBEY,Lubey,Lubey,5417,
COM,54327,44,54,54D,544,0,LUCEY,Lucey,Lucey,5416,
COM,54328,44,54,54D,543,0,LUDRES,Ludres,Ludres,5405,
COM,54329,44,54,54D,542,0,LUNEVILLE,Lunéville,Lunéville,5498,
COM,54330,44,54,54D,543,0,LUPCOURT,Lupcourt,Lupcourt,5405,
COM,54331,44,54,54D,542,0,MAGNIERES,Magnières,Magnières,5409,
COM,54332,44,54,54D,543,0,MAIDIERES,Maidières,Maidières,5418,
COM,54333,44,54,54D,543,0,MAILLY SUR SEILLE,Mailly-sur-Seille,Mailly-sur-Seille,5402,
COM,54334,44,54,54D,541,0,MAIRY MAINVILLE,Mairy-Mainville,Mairy-Mainville,5417,
COM,54335,44,54,54D,542,0,MAIXE,Maixe,Maixe,5408,
COM,54336,44,54,54D,543,0,MAIZIERES,Maizières,Maizières,5415,
COM,54337,44,54,54D,541,0,MALAVILLERS,Malavillers,Malavillers,5417,
COM,54338,44,54,54D,543,0,MALLELOY,Malleloy,Malleloy,5402,
COM,54339,44,54,54D,543,0,MALZEVILLE,Malzéville,Malzéville,5419,
COM,54340,44,54,54D,544,0,MAMEY,Mamey,Mamey,5416,
COMD,54341,,,,,0,MANCE,Mance,Mance,,54099
COMD,54342,,,,,0,MANCIEULLES,Mancieulles,Mancieulles,,54099
COM,54343,44,54,54D,544,0,MANDRES AUX QUATRE TOURS,Mandres-aux-Quatre-Tours,Mandres-aux-Quatre-Tours,5416,
